TOUCHLOG_BEGIN:8000ms,5000us,noclear,addr=0x5D,irq=10
TOUCHLOG_DATA:us,status,int,repeats,x,y
4,0x00,0,2,-1,-1
10001,0x80,0,66,-1,-1
340001,0x80,1,1,-1,-1
345001,0x80,0,68,-1,-1
685001,0x80,1,1,-1,-1
690001,0x80,0,68,-1,-1
1030001,0x80,1,1,-1,-1
1035001,0x80,0,27,-1,-1
1170001,0x80,1,1,-1,-1
1175001,0x80,0,40,-1,-1
1375001,0x80,1,1,-1,-1
1380001,0x80,0,27,-1,-1
1515001,0x80,1,1,-1,-1
1520001,0x80,0,40,-1,-1
1720001,0x80,1,1,-1,-1
1725001,0x80,0,27,-1,-1
1860001,0x80,1,1,-1,-1
1865001,0x80,0,68,-1,-1
2205001,0x80,1,1,-1,-1
2210001,0x80,0,68,-1,-1
2550001,0x80,1,1,-1,-1
2555001,0x80,0,68,-1,-1
2895001,0x80,1,1,-1,-1
2900001,0x80,0,68,-1,-1
3240001,0x80,1,1,-1,-1
3245001,0x80,0,68,-1,-1
3585001,0x80,1,1,-1,-1
3590001,0x80,0,68,-1,-1
3930001,0x80,1,1,-1,-1
3935001,0x80,0,68,-1,-1
4275001,0x80,1,1,-1,-1
4280001,0x80,0,68,-1,-1
4620001,0x80,1,1,-1,-1
4625001,0x80,0,68,-1,-1
4965001,0x80,1,1,-1,-1
4970001,0x80,0,68,-1,-1
5310001,0x80,1,1,-1,-1
5315001,0x80,0,68,-1,-1
5655001,0x80,1,1,-1,-1
5660001,0x80,0,27,-1,-1
5795001,0x80,1,1,-1,-1
5800001,0x80,0,40,-1,-1
6000001,0x80,1,1,-1,-1
6005001,0x80,0,27,-1,-1
6140001,0x80,1,1,-1,-1
6145001,0x80,0,40,-1,-1
6345001,0x80,1,1,-1,-1
6350001,0x80,0,27,-1,-1
6485001,0x80,1,1,-1,-1
6490001,0x80,0,68,-1,-1
6830001,0x80,1,1,-1,-1
6835001,0x80,0,68,-1,-1
7175001,0x80,1,1,-1,-1
7180001,0x80,0,68,-1,-1
7520001,0x80,1,1,-1,-1
7525001,0x80,0,68,-1,-1
7865001,0x80,1,1,-1,-1
7870001,0x80,0,27,-1,-1
TOUCHLOG_END:samples=1601,rows=58,failed=0,span_us=8000001
