TOUCHLOG_BEGIN:8000ms,5000us,delay2000,addr=0x5D,irq=10
TOUCHLOG_ARMED:6414ms,timeout=0
TOUCHLOG_CLEARED:2005001
TOUCHLOG_DATA:us,status,int,repeats,x,y
4,0x90,0,19,-1,-1
95001,0x90,1,1,-1,-1
100000,0x90,0,68,-1,-1
440000,0x90,1,1,-1,-1
445000,0x90,0,40,-1,-1
645001,0x90,1,1,-1,-1
650000,0x90,0,40,-1,-1
850000,0x90,1,1,-1,-1
855001,0x90,0,68,-1,-1
1195001,0x90,1,1,-1,-1
1200000,0x90,0,40,-1,-1
1400000,0x90,1,1,-1,-1
1405000,0x90,0,40,-1,-1
1605001,0x90,1,1,-1,-1
1610000,0x90,0,40,-1,-1
1810000,0x90,1,1,-1,-1
1815001,0x90,0,39,-1,-1
2010000,0x00,0,1,-1,-1
2015001,0x80,0,28,-1,-1
2155001,0x80,1,1,-1,-1
2160001,0x80,0,40,-1,-1
2360001,0x80,1,1,-1,-1
2365000,0x80,0,40,-1,-1
2565001,0x80,1,1,-1,-1
2570001,0x80,0,68,-1,-1
2910001,0x80,1,1,-1,-1
2915001,0x80,0,40,-1,-1
3115001,0x80,1,1,-1,-1
3120001,0x80,0,40,-1,-1
3320001,0x80,1,1,-1,-1
3325000,0x80,0,74,-1,-1
3695001,0x80,1,1,-1,-1
3700001,0x80,0,246,-1,-1
4930000,0x80,1,1,-1,-1
4935001,0x80,0,7,-1,-1
4970001,0x80,1,1,-1,-1
4975001,0x80,0,246,-1,-1
6205000,0x80,1,1,-1,-1
6210000,0x80,0,254,-1,-1
7480001,0x80,1,1,-1,-1
7485000,0x80,0,7,-1,-1
7520001,0x80,1,1,-1,-1
7525001,0x80,0,96,-1,-1
TOUCHLOG_END:samples=1601,rows=43,failed=0,span_us=8000001
