TOUCHLOG_BEGIN:8000ms,5000us,clear,addr=0x5D,irq=10
TOUCHLOG_DATA:us,status,int,repeats
3,0x00,1,27
135001,0x90,0,1
140001,0x00,0,2
150001,0x00,1,10
200001,0x80,0,1
205001,0x00,0,1
210001,0x00,1,1
215001,0x80,0,1
220001,0x00,0,1
225001,0x80,0,1
230001,0x00,0,1
235001,0x00,1,157
1020001,0x90,0,1
1025001,0x00,0,1
1030001,0x00,1,11
1085001,0x80,0,1
1090001,0x00,0,1
1095001,0x80,0,1
1100001,0x00,0,1
1105001,0x80,0,1
1110001,0x00,0,2
1120001,0x00,1,176
2000001,0x90,0,1
2005001,0x00,0,1
2010001,0x00,1,16
2090001,0x80,0,1
2095001,0x00,0,1
2100001,0x80,0,1
2105001,0x00,0,1
2110001,0x80,0,1
2115001,0x00,0,1
2120001,0x00,1,95
2595001,0x90,0,1
2600001,0x00,0,1
2605001,0x00,1,15
2680001,0x80,0,1
2685001,0x00,0,1
2690001,0x80,0,1
2695001,0x00,0,1
2700001,0x80,0,1
2705001,0x00,0,2
2715001,0x00,1,90
3165001,0x90,0,1
3170001,0x00,0,1
3175001,0x91,0,1
3180001,0x00,0,1
3185001,0x00,1,1
3190001,0x91,0,1
3195001,0x00,0,1
3200001,0x91,0,1
3205001,0x00,0,1
3210001,0x91,0,1
3215001,0x00,0,1
3220001,0x91,0,1
3225001,0x00,0,1
3230001,0x91,0,1
3235001,0x00,0,1
3240001,0x80,0,1
3245001,0x00,0,1
3250001,0x80,0,1
3255001,0x00,0,2
3265001,0x80,0,1
3270001,0x00,0,1
3275001,0x00,1,26
3405001,0x90,0,1
3410001,0x00,0,1
3415001,0x00,1,10
3465001,0x80,0,1
3470001,0x00,0,2
3480001,0x80,0,1
3485001,0x00,0,1
3490001,0x80,0,1
3495001,0x00,0,1
3500001,0x00,1,58
3790001,0x90,0,1
3795001,0x00,0,1
3800001,0x00,1,11
3855001,0x80,0,1
3860001,0x00,0,1
3865001,0x80,0,1
3870001,0x00,0,1
3875001,0x80,0,1
3880001,0x00,0,2
3890001,0x00,1,75
4265001,0x81,0,1
4270001,0x00,0,1
4275001,0x81,0,1
4280001,0x00,0,1
4285001,0x81,0,1
4290001,0x00,0,1
4295001,0x00,1,1
4300001,0x81,0,1
4305001,0x00,0,1
4310001,0x81,0,1
4315001,0x00,0,1
4320001,0x81,0,1
4325001,0x00,0,1
4330001,0x81,0,1
4335001,0x00,0,1
4340001,0x81,0,1
4345001,0x00,0,1
4350001,0x81,0,1
4355001,0x00,0,1
4360001,0x00,1,1
4365001,0x81,0,1
4370001,0x00,0,1
4375001,0x81,0,1
4380001,0x00,0,1
4385001,0x80,0,1
4390001,0x00,0,1
4395001,0x80,0,1
4400001,0x00,0,1
4405001,0x80,0,1
4410001,0x00,0,1
4415001,0x00,1,71
4770001,0x81,0,1
4775001,0x00,0,1
4780001,0x00,1,1
4785001,0x81,0,1
4790001,0x00,0,1
4795001,0x81,0,1
4800001,0x00,0,1
4805001,0x81,0,1
4810001,0x00,0,1
4815001,0x81,0,1
4820001,0x00,0,1
4825001,0x81,0,1
4830001,0x00,0,1
4835001,0x81,0,1
4840001,0x00,0,1
4845001,0x81,0,1
4850001,0x00,0,2
4860001,0x81,0,1
4865001,0x00,0,1
4870001,0x81,0,1
4875001,0x00,0,1
4880001,0x81,0,1
4885001,0x00,0,1
4890001,0x81,0,1
4895001,0x00,0,1
4900001,0x80,0,1
4905001,0x00,0,1
4910001,0x80,0,1
4915001,0x00,0,1
4920001,0x80,0,1
4925001,0x00,0,2
4935001,0x00,1,4
4955001,0x81,0,1
4960001,0x00,0,1
4965001,0x81,0,1
4970001,0x00,0,1
4975001,0x81,0,1
4980001,0x00,0,2
4990001,0x81,0,1
4995001,0x00,0,1
5000001,0x81,0,1
5005001,0x00,0,1
5010001,0x81,0,1
5015001,0x00,0,1
5020001,0x81,0,1
5025001,0x00,0,1
5030001,0x81,0,1
5035001,0x00,0,1
5040001,0x81,0,1
5045001,0x00,0,1
5050001,0x80,0,1
5055001,0x00,0,1
5060001,0x80,0,1
5065001,0x00,0,2
5075001,0x80,0,1
5080001,0x00,0,1
5085001,0x00,1,19
5180001,0x81,0,1
5185001,0x00,0,1
5190001,0x81,0,1
5195001,0x00,0,2
5205001,0x81,0,1
5210001,0x00,0,1
5215001,0x81,0,1
5220001,0x00,0,1
5225001,0x81,0,1
5230001,0x00,0,1
5235001,0x81,0,1
5240001,0x00,0,1
5245001,0x81,0,1
5250001,0x00,0,1
5255001,0x81,0,1
5260001,0x00,0,1
5265001,0x00,1,1
5270001,0x81,0,1
5275001,0x00,0,1
5280001,0x81,0,1
5285001,0x00,0,1
5290001,0x81,0,1
5295001,0x00,0,1
5300001,0x80,0,1
5305001,0x00,0,1
5310001,0x80,0,1
5315001,0x00,0,1
5320001,0x80,0,1
5325001,0x00,0,1
5330001,0x00,1,9
5375001,0x81,0,1
5380001,0x00,0,1
5385001,0x81,0,1
5390001,0x00,0,1
5395001,0x81,0,1
5400001,0x00,0,1
5405001,0x00,1,1
5410001,0x81,0,1
5415001,0x00,0,1
5420001,0x81,0,1
5425001,0x00,0,1
5430001,0x81,0,1
5435001,0x00,0,1
5440001,0x81,0,1
5445001,0x00,0,1
5450001,0x81,0,1
5455001,0x00,0,1
5460001,0x80,0,1
5465001,0x00,0,1
5470001,0x80,0,1
5475001,0x00,0,2
5485001,0x80,0,1
5490001,0x00,0,1
5495001,0x00,1,43
5710001,0x81,0,1
5715001,0x00,0,1
5720001,0x81,0,1
5725001,0x00,0,1
5730001,0x81,0,1
5735001,0x00,0,1
5740001,0x81,0,1
5745001,0x00,0,1
5750001,0x00,1,1
5755001,0x81,0,1
5760001,0x00,0,1
5765001,0x81,0,1
5770001,0x00,0,1
5775001,0x81,0,1
5780001,0x00,0,1
5785001,0x81,0,1
5790001,0x00,0,1
5795001,0x80,0,1
5800001,0x00,0,1
5805001,0x80,0,1
5810001,0x00,0,1
5815001,0x80,0,1
5820001,0x00,0,2
5830001,0x00,1,15
