TOUCHLOG_BEGIN:8000ms,5000us,clear,addr=0x5D,irq=10
[119678]   Wait complete:  8279x4_DRF (489 ms)
[119765] [DBG] [GFX] Time = 34 ms from clearScreen to displayBuffer
[120303]   Wait complete:  8279x4_DRF (488 ms)
TOUCHLOG_DATA:us,status,int,repeats,x,y
4,0x00,0,1,-1,-1
5001,0x80,0,1,-1,-1
10001,0x00,0,1,-1,-1
15001,0x80,0,1,-1,-1
20001,0x00,0,1,-1,-1
25001,0x80,0,1,-1,-1
30001,0x00,0,1,-1,-1
35001,0x00,1,22,-1,-1
145991,0x81,0,1,291,788
152007,0x00,0,1,-1,-1
155989,0x81,0,1,291,788
162002,0x00,0,1,-1,-1
165990,0x81,0,1,291,788
171377,0x00,0,2,-1,-1
180001,0x81,0,1,291,788
185001,0x00,0,1,-1,-1
190001,0x81,0,1,291,788
195001,0x00,0,1,-1,-1
200001,0x81,0,1,291,788
205001,0x00,0,1,-1,-1
210001,0x81,0,1,291,788
215001,0x00,0,1,-1,-1
220001,0x81,0,1,291,788
225001,0x00,0,1,-1,-1
230001,0x80,0,1,-1,-1
235001,0x00,0,2,-1,-1
245001,0x80,0,1,-1,-1
250001,0x00,0,1,-1,-1
255001,0x80,0,1,-1,-1
260001,0x00,0,1,-1,-1
265001,0x00,1,11,-1,-1
320001,0x81,0,1,289,786
325001,0x00,0,1,-1,-1
330001,0x81,0,1,289,786
335001,0x00,0,1,-1,-1
340001,0x81,0,1,289,786
345001,0x00,0,1,-1,-1
350001,0x81,0,1,289,786
355001,0x00,0,1,-1,-1
360001,0x81,0,1,289,786
365001,0x00,0,1,-1,-1
370001,0x00,1,1,-1,-1
375001,0x81,0,1,289,786
380001,0x00,0,1,-1,-1
385001,0x81,0,1,289,786
390001,0x00,0,1,-1,-1
395001,0x81,0,1,289,786
400001,0x00,0,1,-1,-1
405001,0x80,0,1,-1,-1
410001,0x00,0,1,-1,-1
415001,0x80,0,1,-1,-1
420001,0x00,0,1,-1,-1
425001,0x80,0,1,-1,-1
430001,0x00,0,1,-1,-1
435001,0x00,1,13,-1,-1
500001,0x81,0,1,290,781
505001,0x00,0,1,-1,-1
510001,0x00,1,1,-1,-1
515001,0x81,0,1,290,781
520001,0x00,0,1,-1,-1
525001,0x81,0,1,290,781
530001,0x00,0,1,-1,-1
535001,0x81,0,1,290,781
540001,0x00,0,1,-1,-1
545001,0x81,0,1,290,781
550001,0x00,0,1,-1,-1
555001,0x81,0,1,290,781
560001,0x00,0,1,-1,-1
565001,0x81,0,1,290,781
570001,0x00,0,1,-1,-1
575001,0x81,0,1,290,781
580001,0x00,0,1,-1,-1
585001,0x00,1,1,-1,-1
590001,0x80,0,1,-1,-1
595001,0x00,0,1,-1,-1
600001,0x80,0,1,-1,-1
605001,0x00,0,1,-1,-1
610001,0x80,0,1,-1,-1
615001,0x00,0,1,-1,-1
620001,0x00,1,15,-1,-1
695990,0x81,0,1,289,781
702007,0x00,1,1,-1,-1
705990,0x81,0,1,289,781
710000,0x00,0,1,-1,-1
715001,0x81,0,1,289,781
720001,0x00,0,2,-1,-1
730000,0x81,0,1,289,781
735001,0x00,0,1,-1,-1
740000,0x81,0,1,289,781
745001,0x00,0,1,-1,-1
750000,0x81,0,1,289,781
755001,0x00,0,1,-1,-1
760000,0x81,0,1,289,781
765001,0x00,0,1,-1,-1
770000,0x80,0,1,-1,-1
775001,0x00,0,1,-1,-1
780001,0x80,0,1,-1,-1
785001,0x00,0,1,-1,-1
790001,0x80,0,1,-1,-1
795001,0x00,0,2,-1,-1
805001,0x00,1,15,-1,-1
880000,0x81,0,1,289,786
885001,0x00,0,1,-1,-1
890000,0x81,0,1,289,786
895001,0x00,0,1,-1,-1
900000,0x81,0,1,289,786
905001,0x00,0,1,-1,-1
910000,0x81,0,1,289,786
915001,0x00,0,1,-1,-1
920000,0x81,0,1,289,786
925001,0x00,0,1,-1,-1
930000,0x00,1,1,-1,-1
935001,0x81,0,1,289,786
940001,0x00,0,1,-1,-1
945001,0x81,0,1,289,786
950001,0x00,0,1,-1,-1
955001,0x80,0,1,-1,-1
960000,0x00,0,1,-1,-1
965001,0x80,0,1,-1,-1
970001,0x00,0,1,-1,-1
975001,0x80,0,1,-1,-1
980001,0x00,0,1,-1,-1
985001,0x00,1,13,-1,-1
1050001,0x81,0,1,289,784
1055001,0x00,0,1,-1,-1
1060000,0x81,0,1,289,784
1065001,0x00,0,2,-1,-1
1075001,0x81,0,1,289,784
1080001,0x00,0,1,-1,-1
1085001,0x81,0,1,289,784
1090000,0x00,0,1,-1,-1
1095001,0x81,0,1,289,784
1100001,0x00,0,1,-1,-1
1105001,0x81,0,1,289,784
1110001,0x00,0,1,-1,-1
1115001,0x81,0,1,289,784
1120001,0x00,0,1,-1,-1
1125001,0x81,0,1,289,784
1130001,0x00,0,1,-1,-1
1135001,0x81,0,1,289,784
1140000,0x00,0,2,-1,-1
1150000,0x80,0,1,-1,-1
1155001,0x00,0,1,-1,-1
1160001,0x80,0,1,-1,-1
1165001,0x00,0,1,-1,-1
1170000,0x80,0,1,-1,-1
1175001,0x00,0,1,-1,-1
1180001,0x00,1,11,-1,-1
1235001,0x81,0,1,289,785
1240001,0x00,0,1,-1,-1
1245001,0x81,0,1,289,785
1250000,0x00,0,1,-1,-1
1255001,0x81,0,1,289,785
1260001,0x00,0,1,-1,-1
1265001,0x81,0,1,289,785
1270001,0x00,0,1,-1,-1
1275001,0x00,1,1,-1,-1
1280000,0x81,0,1,289,785
1285001,0x00,0,1,-1,-1
1290000,0x81,0,1,289,785
1295001,0x00,0,1,-1,-1
1300000,0x81,0,1,289,785
