# CMD:LOOPGAP covering CMD:GOTO_MAP (tile load + render + panel refresh), then ~15 s on the map.
# Firmware's own log for the same event: "New max loop duration: 4292 ms",
# render 2171 ms, panel wait 1341 ms.
LOOPGAP_BEGIN:samples=548
0..2000,0
2000..5000,0
5000..10000,0
10000..20000,0
20000..50000,0
50000..100000,547
100000..200000,0
200000..500000,0
500000..1000000,0
1000000..2000000,0
2000000..inf,1
LOOPGAP_WORST:us,at_ms
4342037,27096
53014,37296
53011,20102
53009,10065
53007,30063
53004,33238
53001,31209
53001,35267
52992,29178
52991,30116
LOOPGAP_END
